path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage
0,3903419,121083338440,1091,7811,7811,408,3911321
1,3626481,144172815349,1174,8704,8704,566,3627266
