path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets
0,3098533,3139188473653,1329,13181,13204,3020
1,2834530,3826114920112,1224,11843,12030,3510
