path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage
0,4250948,122714372777,1093,8727,8887,612,4268095
1,3339974,95918809844,1168,7688,7688,486,3324027
