path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets
0,54357958,14546098143054,1144,15605,15605,3112
1,55157962,17590283604889,1137,17261,17261,3866
