path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets
0,56395505,14652369490225,1142,15625,15625,2980
1,57206593,17875562516531,1138,17256,17256,3872
