path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets
0,2657994,1279464667919,1194,15099,15099,3955
1,2888954,1010142269882,1349,15246,15246,4626
