path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets
0,1747068,4727760304780,1377,7618,7696,2619
1,1824633,5077334415161,1187,11663,11832,3834
