path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage,sentPacketsOnLink
0,4291369,150855322751,1100,7471,7772,549,4299750,7781
1,4021946,338400215265,1184,8276,8488,669,4029776,8479
