path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage,sentPacketsOnLink
0,3631555,161702648976,1036,8935,8945,641,3626473,8950
1,3389547,108586460777,983,9650,9650,637,3396272,9645
