sampleTime, isHotThroughputUtilization
+6.45e+06ns, 1
+6.475e+06ns, 1
+6.5e+06ns, 1
+6.525e+06ns, 1
+6.55e+06ns, 1
+6.575e+06ns, 1
+6.6e+06ns, 1
+6.625e+06ns, 1
+6.65e+06ns, 1
+6.675e+06ns, 0
+6.7e+06ns, 1
+6.725e+06ns, 1
+6.75e+06ns, 1
+6.775e+06ns, 0
+6.8e+06ns, 1
+6.825e+06ns, 1
+6.85e+06ns, 1
+6.875e+06ns, 1
+6.9e+06ns, 1
+6.925e+06ns, 0
+6.95e+06ns, 1
+6.975e+06ns, 1
+7e+06ns, 1
+7.025e+06ns, 1
+7.05e+06ns, 1
+7.075e+06ns, 1
+7.1e+06ns, 1
+7.125e+06ns, 1
+7.15e+06ns, 1
+7.175e+06ns, 1
+7.2e+06ns, 1
+7.225e+06ns, 1
+7.25e+06ns, 1
+7.275e+06ns, 1
+7.3e+06ns, 0
+7.325e+06ns, 1
+7.35e+06ns, 1
+7.375e+06ns, 1
+7.4e+06ns, 1
+7.425e+06ns, 1
+7.45e+06ns, 1
+7.475e+06ns, 1
+7.5e+06ns, 1
+7.525e+06ns, 1
+7.55e+06ns, 1
+7.575e+06ns, 1
+7.6e+06ns, 1
+7.625e+06ns, 1
+7.65e+06ns, 1
+7.675e+06ns, 1
+7.7e+06ns, 1
+7.725e+06ns, 1
+7.75e+06ns, 1
+7.775e+06ns, 1
+7.8e+06ns, 1
+7.825e+06ns, 1
+7.85e+06ns, 1
+7.875e+06ns, 1
+7.9e+06ns, 1
+7.925e+06ns, 1
+7.95e+06ns, 1
+7.975e+06ns, 1
+8e+06ns, 1
+8.025e+06ns, 1
+8.05e+06ns, 1
+8.075e+06ns, 1
+8.1e+06ns, 1
+8.125e+06ns, 1
+8.15e+06ns, 1
+8.175e+06ns, 1
+8.2e+06ns, 1
+8.225e+06ns, 1
+8.25e+06ns, 1
+8.275e+06ns, 1
+8.3e+06ns, 1
+8.325e+06ns, 1
+8.35e+06ns, 1
+8.375e+06ns, 1
+8.4e+06ns, 1
+8.425e+06ns, 1
+8.45e+06ns, 0
+8.475e+06ns, 1
+8.5e+06ns, 1
+8.525e+06ns, 1
+8.55e+06ns, 1
+8.575e+06ns, 1
+8.6e+06ns, 1
+8.625e+06ns, 1
+8.65e+06ns, 1
+8.675e+06ns, 1
+8.7e+06ns, 1
+8.725e+06ns, 1
+8.75e+06ns, 1
+8.775e+06ns, 1
+8.8e+06ns, 1
+8.825e+06ns, 1
+8.85e+06ns, 1
+8.875e+06ns, 1
+8.9e+06ns, 1
+8.925e+06ns, 1
+8.95e+06ns, 1
+8.975e+06ns, 1
+9e+06ns, 1
+9.025e+06ns, 1
+9.05e+06ns, 1
+9.075e+06ns, 1
+9.1e+06ns, 1
+9.125e+06ns, 1
+9.15e+06ns, 1
+9.175e+06ns, 1
+9.2e+06ns, 1
+9.225e+06ns, 1
+9.25e+06ns, 1
+9.275e+06ns, 1
+9.3e+06ns, 1
+9.325e+06ns, 1
+9.35e+06ns, 1
+9.375e+06ns, 1
+9.4e+06ns, 0
+9.425e+06ns, 1
+9.45e+06ns, 1
+9.475e+06ns, 1
+9.5e+06ns, 1
+9.525e+06ns, 1
+9.55e+06ns, 1
+9.575e+06ns, 1
+9.6e+06ns, 1
+9.625e+06ns, 1
+9.65e+06ns, 1
+9.675e+06ns, 1
+9.7e+06ns, 1
+9.725e+06ns, 1
+9.75e+06ns, 1
+9.775e+06ns, 1
+9.8e+06ns, 1
+9.825e+06ns, 1
+9.85e+06ns, 1
+9.875e+06ns, 1
+9.9e+06ns, 0
+9.925e+06ns, 1
+9.95e+06ns, 1
+9.975e+06ns, 1
+1e+07ns, 1
+1.0025e+07ns, 1
+1.005e+07ns, 1
+1.0075e+07ns, 1
+1.01e+07ns, 1
+1.0125e+07ns, 1
+1.015e+07ns, 1
+1.0175e+07ns, 1
+1.02e+07ns, 1
+1.0225e+07ns, 0
+1.025e+07ns, 1
+1.0275e+07ns, 1
+1.03e+07ns, 1
+1.0325e+07ns, 1
+1.035e+07ns, 1
+1.0375e+07ns, 0
+1.04e+07ns, 1
+1.0425e+07ns, 1
+1.045e+07ns, 1
+1.0475e+07ns, 1
+1.05e+07ns, 1
+1.0525e+07ns, 1
+1.055e+07ns, 1
+1.0575e+07ns, 1
+1.06e+07ns, 1
+1.0625e+07ns, 1
+1.065e+07ns, 1
+1.0675e+07ns, 1
+1.07e+07ns, 1
+1.0725e+07ns, 1
+1.075e+07ns, 1
+1.0775e+07ns, 1
+1.08e+07ns, 1
+1.0825e+07ns, 1
+1.085e+07ns, 1
+1.0875e+07ns, 1
+1.09e+07ns, 1
+1.0925e+07ns, 1
+1.095e+07ns, 1
+1.0975e+07ns, 1
+1.1e+07ns, 1
+1.1025e+07ns, 1
+1.105e+07ns, 1
+1.1075e+07ns, 1
+1.11e+07ns, 1
+1.1125e+07ns, 1
+1.115e+07ns, 1
+1.1175e+07ns, 1
+1.12e+07ns, 1
+1.1225e+07ns, 1
+1.125e+07ns, 1
+1.1275e+07ns, 1
+1.13e+07ns, 1
+1.1325e+07ns, 1
+1.135e+07ns, 1
+1.1375e+07ns, 1
+1.14e+07ns, 1
+1.1425e+07ns, 1
+1.145e+07ns, 1
+1.1475e+07ns, 1
+1.15e+07ns, 1
+1.1525e+07ns, 1
+1.155e+07ns, 1
