packet_size,cdf
844,0.79579
845,0.795808
847,0.795816
848,0.795851
849,0.79586
851,0.795869
853,0.795877
854,0.795886
855,0.795895
856,0.795904
857,0.795921
858,0.795947
862,0.795956
864,0.795965
865,0.795973
867,0.795991
870,0.796008
871,0.796017
873,0.796078
875,0.796087
876,0.796104
877,0.796122
879,0.79613
880,0.798269
882,0.798277
883,0.798312
884,0.798365
886,0.798373
891,0.798382
892,0.798391
893,0.798399
896,0.798408
898,0.798426
900,0.798434
905,0.802379
906,0.802396
907,0.802405
908,0.802414
909,0.802431
910,0.802457
911,0.802484
913,0.802492
914,0.802501
917,0.80251
918,0.802527
919,0.802536
923,0.802553
926,0.802562
927,0.802571
930,0.802615
931,0.802658
932,0.802667
933,0.802676
935,0.802684
936,0.802693
938,0.802702
940,0.802711
944,0.802728
946,0.802745
948,0.802763
949,0.80278
952,0.802798
953,0.802807
955,0.802833
956,0.802841
957,0.80285
958,0.802876
959,0.802894
960,0.802903
961,0.80292
962,0.802937
963,0.802955
964,0.802964
965,0.80299
966,0.803007
967,0.803016
970,0.803033
971,0.803042
973,0.803051
974,0.80306
975,0.803077
976,0.803086
977,0.803095
979,0.803112
980,0.803129
981,0.803191
982,0.803208
983,0.807161
985,0.80717
989,0.807187
991,0.807205
994,0.807222
996,0.807231
1001,0.80724
1002,0.80731
1003,0.807362
1004,0.807571
1006,0.80758
1007,0.807598
1008,0.807606
1011,0.807615
1012,0.807624
1013,0.808723
1014,0.808741
1015,0.808758
1016,0.808785
1018,0.808802
1020,0.808819
1021,0.808837
1024,0.808846
1029,0.808854
1030,0.808863
1031,0.808881
1032,0.808915
1033,0.808933
1034,0.808942
1035,0.80895
1036,0.808968
1038,0.808977
1040,0.808985
1042,0.808994
1044,0.809003
1045,0.809011
1046,0.80902
1047,0.809038
1049,0.809046
1051,0.809064
1052,0.809081
1053,0.80909
1057,0.809099
1058,0.809107
1059,0.809125
1064,0.809134
1065,0.80916
1066,0.809168
1069,0.809177
1070,0.809195
1071,0.80923
1073,0.809238
1075,0.809247
1076,0.813008
1078,0.813026
1080,0.813061
1081,0.813069
1085,0.813078
1087,0.813401
1089,0.813436
1090,0.813453
1091,0.813471
1093,0.81348
1094,0.813497
1095,0.813506
1096,0.813523
1097,0.813558
1099,0.813576
1100,0.813584
1102,0.813593
1103,0.813602
1104,0.813611
1106,0.813619
1109,0.813628
1112,0.813637
1113,0.813654
1115,0.813672
1117,0.81368
1120,0.813689
1121,0.813706
1122,0.813715
1126,0.813724
1127,0.81375
1128,0.813759
1129,0.813768
1130,0.815504
1132,0.815513
1133,0.815522
1138,0.81553
1141,0.815539
1142,0.815557
1144,0.815565
1145,0.815574
1148,0.815592
1149,0.8156
1150,0.815618
1151,0.815626
1152,0.815635
1154,0.815644
1157,0.815661
1159,0.81567
1161,0.815679
1163,0.815705
1164,0.816717
1166,0.816726
1169,0.816953
1170,0.81697
1172,0.816988
1176,0.816997
1182,0.817005
1183,0.817014
1184,0.817023
1185,0.817031
1187,0.817058
1189,0.817066
1190,0.81882
1192,0.818855
1194,0.818873
1195,0.818882
1197,0.81889
1200,0.818899
1203,0.818908
1204,0.818925
1205,0.818934
1206,0.818943
1207,0.818951
1208,0.818969
1219,0.818978
1220,0.818986
1221,0.818995
1223,0.819004
1225,0.819039
1226,0.819047
1228,0.819056
1229,0.819065
1231,0.819074
1233,0.819082
1237,0.819091
1239,0.8191
1241,0.819108
1242,0.819117
1244,0.819126
1245,0.819135
1248,0.819152
1249,0.81917
1250,0.819187
1252,0.820112
1254,0.820121
1256,0.82013
1257,0.821962
1258,0.821971
1259,0.82198
1260,0.821997
1263,0.822015
1266,0.822023
1267,0.822032
1269,0.822041
1270,0.822049
1271,0.822058
1273,0.822067
1274,0.822076
1279,0.822084
1280,0.822093
1284,0.822102
1285,0.822111
1286,0.822119
1288,0.822137
1289,0.822154
1295,0.82218
1297,0.822189
1298,0.822198
1299,0.822207
1300,0.822215
1302,0.822224
1303,0.822233
1306,0.82225
1313,0.822276
1314,0.822285
1319,0.822294
1320,0.822303
1328,0.82232
1331,0.822329
1332,0.824257
1334,0.824275
1335,0.825462
1341,0.82547
1344,0.825479
1345,0.825505
1346,0.825514
1355,0.825523
1357,0.825531
1358,0.82554
1360,0.825549
1361,0.825558
1362,0.825566
1363,0.825575
1367,0.825584
1369,0.825601
1370,0.82561
1371,0.825619
1372,0.825636
1376,0.825645
1377,0.825654
1378,0.825662
1381,0.825671
1382,0.82568
1385,0.825689
1387,0.825715
1388,0.825723
1391,0.825741
1392,0.82575
1395,0.825758
1396,0.825767
1400,0.825785
1401,0.825793
1402,0.825802
1407,0.825819
1408,0.825828
1409,0.825837
1410,0.825846
1413,0.825863
1417,0.827748
1419,0.827766
1421,0.827774
1422,0.827783
1425,0.827792
1426,0.8278
1430,0.827809
1435,0.827862
1437,0.827879
1439,0.827888
1440,0.827896
1441,0.827905
1442,0.827914
1443,0.827923
1448,0.827958
1451,0.827966
1454,0.827975
1457,0.827984
1459,0.827992
1460,0.828019
1463,0.828027
1467,0.828036
