packet_size,cdf
932,0.475664
933,0.475679
934,0.475724
935,0.475739
940,0.475754
942,0.475768
948,0.475783
950,0.475798
954,0.475813
955,0.475828
960,0.475843
961,0.48253
962,0.482545
965,0.485092
974,0.485107
982,0.485122
986,0.485136
987,0.485151
988,0.48807
994,0.488085
999,0.488115
1000,0.48813
1001,0.488145
1006,0.491049
1007,0.491064
1010,0.491109
1012,0.491124
1013,0.491153
1014,0.491183
1016,0.491198
1017,0.491228
1018,0.491258
1019,0.491272
1020,0.491302
1022,0.491332
1023,0.491347
1029,0.491362
1036,0.491377
1037,0.491392
1039,0.491436
1040,0.491451
1042,0.491481
1048,0.491511
1050,0.491526
1053,0.491541
1055,0.491555
1057,0.49157
1058,0.491645
1060,0.494549
1062,0.494609
1064,0.494623
1068,0.494638
1071,0.494668
1076,0.494683
1079,0.494713
1081,0.494728
1084,0.497826
1087,0.49784
1089,0.497885
1095,0.4979
1101,0.49793
1103,0.497945
1104,0.49796
1107,0.497975
1111,0.497989
1113,0.498019
1114,0.498198
1115,0.498213
1117,0.498257
1121,0.498347
1128,0.498362
1133,0.498466
1135,0.498481
1137,0.501638
1139,0.501653
1142,0.501683
1150,0.501698
1153,0.501713
1155,0.501728
1161,0.501743
1164,0.501757
1166,0.501787
1167,0.501802
1170,0.501817
1173,0.501832
1175,0.501847
1180,0.501862
1184,0.501877
1185,0.501891
1188,0.501906
1191,0.501921
1197,0.501981
1198,0.505108
1200,0.505123
1204,0.505138
1205,0.505168
1209,0.505198
1210,0.505213
1211,0.505228
1212,0.505242
1214,0.505257
1216,0.505272
1218,0.508683
1222,0.508698
1229,0.508728
1231,0.508742
1234,0.508757
1235,0.508772
1236,0.508787
1237,0.508802
1248,0.508817
1250,0.508832
1252,0.508847
1254,0.508862
1255,0.508876
1256,0.508891
1257,0.508906
1263,0.508921
1264,0.50901
1271,0.509025
1279,0.50904
1280,0.50907
1286,0.509085
1290,0.5091
1292,0.509115
1293,0.509189
1296,0.509204
1299,0.509219
1300,0.509234
1301,0.509249
1303,0.509264
1305,0.512019
1311,0.512034
1312,0.512049
1314,0.512064
1317,0.512093
1318,0.512123
1320,0.512138
1332,0.512227
1333,0.512242
1335,0.512257
1336,0.512332
1337,0.512347
1341,0.512361
1342,0.512391
1344,0.512421
1347,0.512436
1349,0.512451
1351,0.512466
1352,0.512481
1358,0.51257
1360,0.5126
1363,0.51263
1364,0.515653
1365,0.515683
1366,0.515698
1367,0.515712
1375,0.515727
1379,0.515757
1382,0.515772
1385,0.515787
1386,0.515817
1392,0.515861
1393,0.515876
1394,0.515891
1395,0.515906
1396,0.515921
1397,0.518691
1399,0.518706
1403,0.518721
1409,0.521625
1412,0.52164
1413,0.52167
1418,0.521685
1419,0.5217
1420,0.521729
1424,0.521744
1425,0.521759
1429,0.521774
1431,0.521789
1434,0.521819
1436,0.521834
1438,0.521849
1440,0.521863
1441,0.521878
1443,0.521893
1444,0.521923
1447,0.521938
1449,0.521953
1452,0.529102
1453,0.529117
1455,0.529131
1459,0.529146
1460,0.529161
1461,0.529176
1462,0.529251
1463,0.529295
1464,0.529325
1465,0.53214
1467,0.532155
1469,0.53217
1474,0.532185
1477,0.535133
1478,0.535148
1479,0.535163
1480,0.535223
1483,0.535282
1489,0.535312
1493,0.535342
1494,0.535357
1497,0.538201
1498,0.538216
1500,1
