path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets
0,58060292,40719840306883,1157,15814,15895,3242
1,57160956,44228786441426,1128,16883,16908,3545
