path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage
0,3105997,87887946549,985,9180,9180,606,3111893
1,3105823,88232287862,1009,9597,9597,639,3100069
