path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage
0,3366364,120711651072,1083,8651,8651,458,3384177
1,3366283,98901396834,1188,7896,7896,535,3366938
