path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage,sentPacketsOnLink
0,3646279,146989959289,1020,9073,9084,643,3644813,9080
1,3268216,127131754872,1000,9480,9480,603,3263042,9484
