sampleTime, isHotThroughputUtilization,queueSize
+5.575e+06ns, 0,0
+5.6e+06ns, 0,0
+5.625e+06ns, 0,0
+5.65e+06ns, 0,0
+5.675e+06ns, 0,0
+5.7e+06ns, 0,0
+5.725e+06ns, 0,0
+5.75e+06ns, 0,0
+5.775e+06ns, 0,0
+5.8e+06ns, 0,0
+5.825e+06ns, 0,0
+5.85e+06ns, 0,0
+5.875e+06ns, 0,0
+5.9e+06ns, 0,0
+5.925e+06ns, 0,0
+5.95e+06ns, 0,0
+5.975e+06ns, 0,0
+6e+06ns, 0,0
+6.025e+06ns, 0,0
+6.05e+06ns, 0,0
+6.075e+06ns, 0,0
+6.1e+06ns, 0,0
+6.125e+06ns, 0,0
+6.15e+06ns, 0,0
+6.175e+06ns, 0,0
+6.2e+06ns, 0,0
+6.225e+06ns, 0,0
+6.25e+06ns, 0,0
+6.275e+06ns, 0,0
+6.3e+06ns, 0,0
+6.325e+06ns, 0,0
+6.35e+06ns, 0,0
+6.375e+06ns, 0,2
+6.4e+06ns, 0,5
+6.425e+06ns, 0,6
+6.45e+06ns, 0,9
+6.475e+06ns, 0,11
+6.5e+06ns, 0,13
+6.525e+06ns, 0,13
+6.55e+06ns, 0,13
+6.575e+06ns, 0,16
+6.6e+06ns, 0,18
+6.625e+06ns, 0,21
+6.65e+06ns, 0,24
+6.675e+06ns, 0,25
+6.7e+06ns, 0,29
+6.725e+06ns, 0,40
+6.75e+06ns, 0,46
+6.775e+06ns, 0,47
+6.8e+06ns, 0,52
+6.825e+06ns, 0,55
+6.85e+06ns, 0,55
+6.875e+06ns, 0,56
+6.9e+06ns, 0,58
+6.925e+06ns, 0,58
+6.95e+06ns, 0,58
+6.975e+06ns, 0,59
+7e+06ns, 0,62
+7.025e+06ns, 0,66
+7.05e+06ns, 0,69
+7.075e+06ns, 0,70
+7.1e+06ns, 0,72
+7.125e+06ns, 0,75
+7.15e+06ns, 0,76
+7.175e+06ns, 0,77
+7.2e+06ns, 0,77
+7.225e+06ns, 0,77
+7.25e+06ns, 0,77
+7.275e+06ns, 0,77
+7.3e+06ns, 0,80
+7.325e+06ns, 0,81
+7.35e+06ns, 0,83
+7.375e+06ns, 0,84
+7.4e+06ns, 0,86
+7.425e+06ns, 0,86
+7.45e+06ns, 0,86
+7.475e+06ns, 0,87
+7.5e+06ns, 0,87
+7.525e+06ns, 0,87
+7.55e+06ns, 0,88
+7.575e+06ns, 0,89
+7.6e+06ns, 0,92
+7.625e+06ns, 0,92
+7.65e+06ns, 0,94
+7.675e+06ns, 0,94
+7.7e+06ns, 0,97
+7.725e+06ns, 0,97
+7.75e+06ns, 0,97
+7.775e+06ns, 0,97
+7.8e+06ns, 0,97
+7.825e+06ns, 0,97
+7.85e+06ns, 0,97
+7.875e+06ns, 0,97
+7.9e+06ns, 0,97
+7.925e+06ns, 0,97
+7.95e+06ns, 0,97
+7.975e+06ns, 0,97
+8e+06ns, 0,97
+8.025e+06ns, 0,97
+8.05e+06ns, 0,98
+8.075e+06ns, 0,99
+8.1e+06ns, 0,100
+8.125e+06ns, 0,102
+8.15e+06ns, 0,102
+8.175e+06ns, 0,102
+8.2e+06ns, 0,102
+8.225e+06ns, 0,102
+8.25e+06ns, 0,102
+8.275e+06ns, 0,102
+8.3e+06ns, 0,102
+8.325e+06ns, 0,102
+8.35e+06ns, 0,102
+8.375e+06ns, 0,102
+8.4e+06ns, 0,102
+8.425e+06ns, 0,102
+8.45e+06ns, 0,102
+8.475e+06ns, 0,102
+8.5e+06ns, 0,102
+8.525e+06ns, 0,102
+8.55e+06ns, 0,102
+8.575e+06ns, 0,102
+8.6e+06ns, 0,102
+8.625e+06ns, 0,102
+8.65e+06ns, 0,102
+8.675e+06ns, 0,102
+8.7e+06ns, 0,102
+8.725e+06ns, 0,102
+8.75e+06ns, 0,102
+8.775e+06ns, 0,102
+8.8e+06ns, 0,102
+8.825e+06ns, 0,102
+8.85e+06ns, 0,102
+8.875e+06ns, 0,102
+8.9e+06ns, 0,102
+8.925e+06ns, 0,102
+8.95e+06ns, 0,102
+8.975e+06ns, 0,102
+9e+06ns, 0,102
+9.025e+06ns, 0,102
+9.05e+06ns, 0,102
+9.075e+06ns, 0,102
+9.1e+06ns, 0,102
+9.125e+06ns, 0,102
+9.15e+06ns, 0,102
+9.175e+06ns, 0,102
+9.2e+06ns, 0,102
+9.225e+06ns, 0,102
+9.25e+06ns, 0,102
+9.275e+06ns, 0,102
+9.3e+06ns, 0,102
+9.325e+06ns, 0,102
+9.35e+06ns, 0,102
+9.375e+06ns, 0,102
+9.4e+06ns, 0,102
+9.425e+06ns, 0,102
+9.45e+06ns, 0,102
+9.475e+06ns, 0,102
+9.5e+06ns, 0,102
+9.525e+06ns, 0,102
+9.55e+06ns, 0,102
+9.575e+06ns, 0,102
+9.6e+06ns, 0,102
+9.625e+06ns, 0,102
+9.65e+06ns, 0,102
+9.675e+06ns, 0,102
+9.7e+06ns, 0,102
+9.725e+06ns, 0,102
+9.75e+06ns, 0,102
+9.775e+06ns, 0,102
+9.8e+06ns, 0,103
+9.825e+06ns, 0,103
+9.85e+06ns, 0,103
+9.875e+06ns, 0,103
+9.9e+06ns, 0,103
+9.925e+06ns, 0,104
+9.95e+06ns, 0,105
+9.975e+06ns, 0,105
+1e+07ns, 0,106
+1.0025e+07ns, 0,106
+1.005e+07ns, 0,106
+1.0075e+07ns, 0,106
+1.01e+07ns, 0,106
+1.0125e+07ns, 0,106
+1.015e+07ns, 0,106
+1.0175e+07ns, 0,106
+1.02e+07ns, 0,106
+1.0225e+07ns, 0,111
+1.025e+07ns, 0,111
+1.0275e+07ns, 0,114
+1.03e+07ns, 0,115
+1.0325e+07ns, 0,117
+1.035e+07ns, 0,117
+1.0375e+07ns, 0,119
+1.04e+07ns, 0,121
+1.0425e+07ns, 0,121
+1.045e+07ns, 0,124
+1.0475e+07ns, 0,124
+1.05e+07ns, 0,126
+1.0525e+07ns, 0,126
+1.055e+07ns, 0,126
+1.0575e+07ns, 0,126
+1.06e+07ns, 0,126
+1.0625e+07ns, 0,128
+1.065e+07ns, 0,128
+1.0675e+07ns, 0,128
+1.07e+07ns, 0,128
+1.0725e+07ns, 0,129
+1.075e+07ns, 0,131
+1.0775e+07ns, 0,133
+1.08e+07ns, 0,135
+1.0825e+07ns, 0,136
+1.085e+07ns, 0,137
+1.0875e+07ns, 0,140
+1.09e+07ns, 0,140
+1.0925e+07ns, 0,141
+1.095e+07ns, 0,141
+1.0975e+07ns, 0,141
+1.1e+07ns, 0,142
+1.1025e+07ns, 0,143
+1.105e+07ns, 0,143
+1.1075e+07ns, 0,144
+1.11e+07ns, 0,144
+1.1125e+07ns, 0,145
+1.115e+07ns, 0,145
+1.1175e+07ns, 0,146
+1.12e+07ns, 0,148
+1.1225e+07ns, 0,150
+1.125e+07ns, 0,151
+1.1275e+07ns, 0,152
+1.13e+07ns, 0,152
+1.1325e+07ns, 0,154
+1.135e+07ns, 0,157
+1.1375e+07ns, 0,157
+1.14e+07ns, 0,160
+1.1425e+07ns, 0,161
+1.145e+07ns, 0,163
+1.1475e+07ns, 0,166
+1.15e+07ns, 0,166
+1.1525e+07ns, 0,170
+1.155e+07ns, 0,172
+1.1575e+07ns, 0,173
+1.16e+07ns, 0,185
+1.1625e+07ns, 0,185
+1.165e+07ns, 0,186
+1.1675e+07ns, 0,187
+1.17e+07ns, 0,189
+1.1725e+07ns, 0,191
+1.175e+07ns, 0,193
+1.1775e+07ns, 0,194
+1.18e+07ns, 0,194
+1.1825e+07ns, 0,194
+1.185e+07ns, 0,195
+1.1875e+07ns, 0,195
+1.19e+07ns, 0,195
+1.1925e+07ns, 0,195
+1.195e+07ns, 0,195
+1.1975e+07ns, 0,195
+1.2e+07ns, 0,195
+1.2025e+07ns, 0,195
+1.205e+07ns, 0,195
+1.2075e+07ns, 0,195
+1.21e+07ns, 0,195
+1.2125e+07ns, 0,195
+1.215e+07ns, 0,195
+1.2175e+07ns, 0,195
+1.22e+07ns, 0,195
+1.2225e+07ns, 0,195
+1.225e+07ns, 0,195
+1.2275e+07ns, 0,195
+1.23e+07ns, 0,195
+1.2325e+07ns, 0,196
+1.235e+07ns, 0,197
+1.2375e+07ns, 0,198
+1.24e+07ns, 0,199
+1.2425e+07ns, 0,201
+1.245e+07ns, 0,201
+1.2475e+07ns, 0,201
+1.25e+07ns, 0,201
+1.2525e+07ns, 0,201
+1.255e+07ns, 0,201
+1.2575e+07ns, 0,201
+1.26e+07ns, 0,201
+1.2625e+07ns, 0,201
+1.265e+07ns, 0,201
+1.2675e+07ns, 0,201
+1.27e+07ns, 0,201
+1.2725e+07ns, 0,201
+1.275e+07ns, 0,201
+1.2775e+07ns, 0,201
+1.28e+07ns, 0,201
+1.2825e+07ns, 0,201
+1.285e+07ns, 0,201
+1.2875e+07ns, 0,201
+1.29e+07ns, 0,201
+1.2925e+07ns, 0,201
+1.295e+07ns, 0,201
+1.2975e+07ns, 0,201
+1.3e+07ns, 0,201
+1.3025e+07ns, 0,201
+1.305e+07ns, 0,201
+1.3075e+07ns, 0,201
+1.31e+07ns, 0,201
+1.3125e+07ns, 0,201
+1.315e+07ns, 0,201
+1.3175e+07ns, 0,201
+1.32e+07ns, 0,201
+1.3225e+07ns, 0,201
