path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage,sentPacketsOnLink
0,4222072,171340244285,978,8673,9285,383,4226637,9292
1,4129903,260300738639,1096,7925,8462,345,4130385,8455
