path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets
0,63702531,75862620698139,1212,13023,13279,3114
1,67214723,53410947194488,1260,16347,16879,3828
