path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage
0,3385017,1681202999490,1160,7120,7893,399,3380005
1,3358717,1586242441584,1091,7047,7756,317,3325640
