path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets
0,61095536,20578709936762,1198,13485,13523,2916
1,59409963,17455509558897,1240,17167,17167,3656
