path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage
0,3351488,93534679688,1169,8672,8672,539,3352077
1,3332479,90278859560,1092,7893,7893,436,3343044
