path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets
0,52841462,59524291797480,1156,15852,15981,3445
1,50652827,41237447252864,1132,16684,16776,3616
