path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets,timeAverage
0,3306781,101161316279,1093,7856,7856,404,3321920
1,3302491,93922276222,1178,8626,8626,565,3302814
