path,sampleDelayMean,unbiasedSmapleDelayVariance,averagePacketSize,receivedPackets,sentPackets,markedPackets
0,54824836,36318024095153,1163,13721,13801,2667
1,53866104,26080322597967,1262,16895,16973,3952
